T,TOT_Raw,TOT_Ptl,NEG_Raw,NEG_Ptl,DET_Raw,DET_Ptl,ANT_Raw,ANT_Ptl,DIS_Raw,DIS_Ptl,PSY_Raw,PSY_Ptl
35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38,0.01,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39,0.06,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40,0.10,0.12,0.06,0.21,0.04,0.24,0.00,0.00,0.00,0.00,0.00,0.00
41,0.15,0.16,0.12,0.21,0.11,0.24,0.00,0.00,0.05,0.24,0.00,0.00
42,0.19,0.22,0.19,0.21,0.17,0.24,0.00,0.40,0.10,0.24,0.00,0.00
43,0.24,0.27,0.26,0.33,0.23,0.35,0.05,0.40,0.16,0.24,0.04,0.44
44,0.28,0.34,0.32,0.33,0.30,0.36,0.10,0.40,0.22,0.41,0.09,0.44
45,0.33,0.40,0.39,0.33,0.36,0.36,0.15,0.40,0.27,0.41,0.15,0.44
46,0.37,0.44,0.46,0.47,0.42,0.47,0.20,0.40,0.33,0.41,0.21,0.55
47,0.42,0.49,0.52,0.47,0.48,0.47,0.25,0.55,0.39,0.41,0.26,0.56
48,0.47,0.52,0.59,0.05,0.55,0.47,0.30,0.56,0.44,0.57,0.32,0.56
49,0.51,0.55,0.66,0.56,0.61,0.59,0.35,0.56,0.50,0.57,0.38,0.56
50,0.56,0.59,0.72,0.56,0.67,0.59,0.40,0.56,0.56,0.58,0.44,0.68
51,0.60,0.65,0.79,0.56,0.74,0.59,0.44,0.69,0.61,0.69,0.49,0.68
52,0.65,0.66,0.86,0.66,0.80,0.59,0.49,0.69,0.67,0.70,0.55,0.68
53,0.69,0.69,0.92,0.66,0.86,0.68,0.54,0.69,0.73,0.70,0.61,0.75
54,0.74,0.71,0.99,0.66,0.92,0.68,0.59,0.69,0.78,0.70,0.66,0.75
55,0.78,0.73,1.06,0.74,0.99,0.68,0.64,0.77,0.84,0.78,0.72,0.75
56,0.83,0.75,1.12,0.74,1.05,0.77,0.69,0.77,0.89,0.78,0.78,0.75
57,0.87,0.78,1.19,0.74,1.11,0.77,0.74,0.77,0.95,0.78,0.84,0.81
58,0.92,0.82,1.25,0.81,1.18,0.77,0.79,0.78,1.01,0.84,0.89,0.81
59,0.97,0.84,1.32,0.81,1.24,0.83,0.84,0.85,1.06,0.84,0.95,0.81
60,1.01,0.85,1.39,0.81,1.30,0.83,0.89,0.85,1.12,0.84,1.01,0.86
61,1.06,0.87,1.45,0.86,1.36,0.83,0.94,0.85,1.18,0.84,1.06,0.86
62,1.10,0.87,1.52,0.86,1.43,0.88,0.99,0.85,1.23,0.89,1.12,0.86
63,1.15,0.89,1.59,0.86,1.49,0.88,1.03,0.92,1.29,0.89,1.18,0.86
64,1.19,0.90,1.65,0.90,1.55,0.88,1.08,0.92,1.35,0.89,1.23,0.90
65,1.24,0.91,1.72,0.90,1.62,0.92,1.13,0.92,1.40,0.92,1.29,0.90
66,1.28,0.93,1.79,0.90,1.68,0.92,1.18,0.92,1.46,0.92,1.35,0.91
67,1.33,0.93,1.85,0.93,1.74,0.92,1.23,0.93,1.52,0.92,1.41,0.94
68,1.37,0.94,1.92,0.93,1.81,0.96,1.28,0.93,1.57,0.92,1.46,0.94
69,1.42,0.94,1.99,0.93,1.87,0.96,1.33,0.93,1.63,0.95,1.52,0.94
70,1.47,0.95,2.05,0.95,1.93,0.96,1.38,0.93,1.69,0.95,1.58,0.94
71,1.51,0.95,2.12,0.95,1.99,0.96,1.43,0.96,1.74,0.95,1.63,0.96
72,1.56,0.95,2.19,0.95,2.06,0.98,1.48,0.96,1.80,0.95,1.69,0.96
73,1.60,0.96,2.25,0.98,2.12,0.98,1.53,0.96,1.85,0.96,1.75,0.96
74,1.65,0.97,2.32,0.98,2.18,0.98,1.57,0.96,1.91,0.96,1.81,0.97
75,1.69,0.98,2.39,0.98,2.25,0.99,1.62,0.98,1.97,0.96,1.86,0.97
76,1.74,0.98,2.45,0.98,2.31,0.99,1.67,0.98,2.02,0.98,1.92,0.97
77,1.78,0.98,2.52,0.98,2.37,0.99,1.72,0.98,2.08,0.98,1.98,0.97
78,1.83,0.99,2.59,0.98,2.43,0.99,1.77,0.98,2.14,0.98,2.03,0.98
79,1.87,0.99,2.65,0.99,2.50,0.99,1.82,0.98,2.19,0.98,2.09,0.98
80,1.92,0.99,2.72,0.99,2.56,0.99,1.87,0.98,2.25,0.99,2.15,0.98
81,1.97,0.99,2.79,0.99,2.62,0.99,1.92,0.98,2.31,0.99,2.21,0.99
82,2.01,0.99,2.85,1.00,2.69,0.99,1.97,0.98,2.36,0.99,2.26,0.99
83,2.06,0.99,2.92,1.00,2.75,0.99,2.02,0.99,2.42,0.99,2.32,0.99
84,2.10,0.99,2.98,1.00,2.81,1.00,2.07,0.99,2.48,0.99,2.38,0.99
85,2.15,1.00,3.05,1.00,2.87,1.00,2.11,0.99,2.53,0.99,2.43,1.00
